block	arm	status	window_d	kind	rep	ms
2	B	FAILED	0	list	4	4.46
2	B	FAILED	0	count	4	4.99
2	B	FAILED	0	list	5	4.44
2	B	FAILED	0	count	5	4.96
2	B	CANCELLED	1	list	1	0.221
2	B	CANCELLED	1	count	1	0.0964
2	B	CANCELLED	1	list	2	0.22
2	B	CANCELLED	1	count	2	0.0975
2	B	CANCELLED	1	list	3	0.221
2	B	CANCELLED	1	count	3	0.097
2	B	CANCELLED	1	list	4	0.236
2	B	CANCELLED	1	count	4	0.0965
2	B	CANCELLED	1	list	5	0.217
2	B	CANCELLED	1	count	5	0.0971
2	B	CANCELLED	7	list	1	0.308
2	B	CANCELLED	7	count	1	0.517
2	B	CANCELLED	7	list	2	0.311
2	B	CANCELLED	7	count	2	0.512
2	B	CANCELLED	7	list	3	0.306
2	B	CANCELLED	7	count	3	0.521
2	B	CANCELLED	7	list	4	0.311
2	B	CANCELLED	7	count	4	0.526
2	B	CANCELLED	7	list	5	0.31
2	B	CANCELLED	7	count	5	0.526
2	B	CANCELLED	30	list	1	1.23
2	B	CANCELLED	30	count	1	2.23
2	B	CANCELLED	30	list	2	1.26
2	B	CANCELLED	30	count	2	2.22
2	B	CANCELLED	30	list	3	1.23
2	B	CANCELLED	30	count	3	2.21
2	B	CANCELLED	30	list	4	1.22
2	B	CANCELLED	30	count	4	2.21
2	B	CANCELLED	30	list	5	1.22
2	B	CANCELLED	30	count	5	2.23
2	B	CANCELLED	0	list	1	4.41
2	B	CANCELLED	0	count	1	21.5
2	B	CANCELLED	0	list	2	4.51
2	B	CANCELLED	0	count	2	21.5
2	B	CANCELLED	0	list	3	4.44
2	B	CANCELLED	0	count	3	21.4
2	B	CANCELLED	0	list	4	4.45
2	B	CANCELLED	0	count	4	21.8
2	B	CANCELLED	0	list	5	4.44
2	B	CANCELLED	0	count	5	21.8
2	B	IN_PROGRESS	1	list	1	0.22
2	B	IN_PROGRESS	1	count	1	0.217
2	B	IN_PROGRESS	1	list	2	0.22
2	B	IN_PROGRESS	1	count	2	0.213
2	B	IN_PROGRESS	1	list	3	0.212
2	B	IN_PROGRESS	1	count	3	0.213
2	B	IN_PROGRESS	1	list	4	0.216
2	B	IN_PROGRESS	1	count	4	0.217
2	B	IN_PROGRESS	1	list	5	0.22
2	B	IN_PROGRESS	1	count	5	0.211
2	B	IN_PROGRESS	7	list	1	0.739
2	B	IN_PROGRESS	7	count	1	1.35
2	B	IN_PROGRESS	7	list	2	0.726
2	B	IN_PROGRESS	7	count	2	1.36
2	B	IN_PROGRESS	7	list	3	0.726
2	B	IN_PROGRESS	7	count	3	1.36
2	B	IN_PROGRESS	7	list	4	0.726
2	B	IN_PROGRESS	7	count	4	1.37
2	B	IN_PROGRESS	7	list	5	0.743
2	B	IN_PROGRESS	7	count	5	1.35
2	B	IN_PROGRESS	30	list	1	5.16
2	B	IN_PROGRESS	30	count	1	5.77
2	B	IN_PROGRESS	30	list	2	5.19
2	B	IN_PROGRESS	30	count	2	5.92
2	B	IN_PROGRESS	30	list	3	5.27
2	B	IN_PROGRESS	30	count	3	5.76
2	B	IN_PROGRESS	30	list	4	5.2
2	B	IN_PROGRESS	30	count	4	5.76
2	B	IN_PROGRESS	30	list	5	5.2
2	B	IN_PROGRESS	30	count	5	5.73
2	B	IN_PROGRESS	0	list	1	4.38
2	B	IN_PROGRESS	0	count	1	57.7
2	B	IN_PROGRESS	0	list	2	4.41
2	B	IN_PROGRESS	0	count	2	56.7
2	B	IN_PROGRESS	0	list	3	4.4
2	B	IN_PROGRESS	0	count	3	57.1
2	B	IN_PROGRESS	0	list	4	4.4
2	B	IN_PROGRESS	0	count	4	59.9
2	B	IN_PROGRESS	0	list	5	4.42
2	B	IN_PROGRESS	0	count	5	56.8
2	B	COMPLETED	1	list	1	0.39
2	B	COMPLETED	1	count	1	0.71
2	B	COMPLETED	1	list	2	0.388
2	B	COMPLETED	1	count	2	0.703
2	B	COMPLETED	1	list	3	0.39
2	B	COMPLETED	1	count	3	0.654
2	B	COMPLETED	1	list	4	0.398
2	B	COMPLETED	1	count	4	0.67
