dataset	target	arm	query	driving	max_q_access	max_q_all	handler	top_ms	nodes(est/act x loops q)
skew_t34_skew	T34	S0	T4.list.COMPLETED.w0	exercise_sessions(idx_session_status_starttime)	2497.6	2497.6	20	17.2	Limit 20/20x1 q1.0 ; Filter 49951/20x1 q2497.6 ; exercise_sessions:idx_session_status_starttime 49951/20x1 q2497.6
skew_t34_skew	T34	S0	T4.listForceTime.COMPLETED.w0	exercise_sessions(idx_session_starttime_member)	1.4	4.0	28	0.241	Limit 5/20x1 q4.0 ; Filter 5/20x1 q4.0 ; exercise_sessions:idx_session_starttime_member 20/27x1 q1.4
skew_t34_skew	T34	S0	T4.count.COMPLETED.w0	exercise_sessions(idx_session_status_starttime)	1.4	1.4	69941	65.9	Aggregate 1/1x1 q1.0 ; Filter 49951/69940x1 q1.4 ; exercise_sessions:idx_session_status_starttime 49951/69940x1 q1.4
skew_t34_skew	T34	S1	T3.a.day	exercise_sessions(idx_session_starttime_member)	1.0	1.0	276	0.289	Aggregate 1/1x1 q1.0 ; Filter 275/275x1 q1.0 ; exercise_sessions:idx_session_starttime_member 275/275x1 q1.0
skew_t34_skew	T34	S1	T3.b.status	exercise_sessions(idx_session_status_starttime)	1.0	1.3	99997	165.0	Group aggregate 3/4x1 q1.3 ; exercise_sessions:idx_session_status_starttime 100006/99995x1 q1.0
skew_t34_skew	T34	S1	T4.list.FAILED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	9	0.0679	Limit 8/8x1 q1.0 ; exercise_sessions:idx_session_status_starttime 8/8x1 q1.0
skew_t34_skew	T34	S1	T4.listForceTime.FAILED.w1	exercise_sessions(idx_session_starttime_member)	275.0	275.0	277	2.7	Limit 0.25/8x1 q8.0 ; Filter 0.25/8x1 q8.0 ; exercise_sessions:idx_session_starttime_member 1/275x1 q275.0
skew_t34_skew	T34	S1	T4.count.FAILED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	9	0.042	Aggregate 1/1x1 q1.0 ; Filter 8/8x1 q1.0 ; exercise_sessions:idx_session_status_starttime 8/8x1 q1.0
skew_t34_skew	T34	S1	T4.list.FAILED.w7	exercise_sessions(idx_session_status_starttime)	2.1	2.1	20	0.249	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 42/20x1 q2.1
skew_t34_skew	T34	S1	T4.listForceTime.FAILED.w7	exercise_sessions(idx_session_starttime_member)	895.0	895.0	896	10.3	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/895x1 q895.0
skew_t34_skew	T34	S1	T4.count.FAILED.w7	exercise_sessions(idx_session_status_starttime)	1.0	1.0	43	0.0957	Aggregate 1/1x1 q1.0 ; Filter 42/42x1 q1.0 ; exercise_sessions:idx_session_status_starttime 42/42x1 q1.0
skew_t34_skew	T34	S1	T4.list.FAILED.w30	exercise_sessions(idx_session_status_starttime)	8.2	8.2	20	0.412	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 163/20x1 q8.2
skew_t34_skew	T34	S1	T4.listForceTime.FAILED.w30	exercise_sessions(idx_session_starttime_member)	895.0	895.0	896	3.3	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/895x1 q895.0
skew_t34_skew	T34	S1	T4.count.FAILED.w30	exercise_sessions(idx_session_status_starttime)	1.0	1.0	164	0.216	Aggregate 1/1x1 q1.0 ; Filter 163/163x1 q1.0 ; exercise_sessions:idx_session_status_starttime 163/163x1 q1.0
skew_t34_skew	T34	S1	T4.list.FAILED.w0	exercise_sessions(idx_session_status_starttime)	103.5	103.5	20	0.751	Limit 20/20x1 q1.0 ; Filter 2069/20x1 q103.5 ; exercise_sessions:idx_session_status_starttime 2069/20x1 q103.5
skew_t34_skew	T34	S1	T4.listForceTime.FAILED.w0	exercise_sessions(idx_session_starttime_member)	44.8	44.8	896	3.23	Limit 5/20x1 q4.0 ; Filter 5/20x1 q4.0 ; exercise_sessions:idx_session_starttime_member 20/895x1 q44.8
skew_t34_skew	T34	S1	T4.count.FAILED.w0	exercise_sessions(idx_session_status_starttime)	1.0	1.0	2070	1.55	Aggregate 1/1x1 q1.0 ; Filter 2069/2069x1 q1.0 ; exercise_sessions:idx_session_status_starttime 2069/2069x1 q1.0
skew_t34_skew	T34	S1	T4.list.CANCELLED.w1	exercise_sessions(idx_session_status_starttime)	1.1	1.1	20	0.151	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 21/20x1 q1.1
skew_t34_skew	T34	S1	T4.listForceTime.CANCELLED.w1	exercise_sessions(idx_session_starttime_member)	256.0	256.0	257	1.22	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/256x1 q256.0
skew_t34_skew	T34	S1	T4.count.CANCELLED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	22	0.0827	Aggregate 1/1x1 q1.0 ; Filter 21/21x1 q1.0 ; exercise_sessions:idx_session_status_starttime 21/21x1 q1.0
skew_t34_skew	T34	S1	T4.list.CANCELLED.w7	exercise_sessions(idx_session_status_starttime)	7.0	7.0	20	0.428	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 141/20x1 q7.0
skew_t34_skew	T34	S1	T4.listForceTime.CANCELLED.w7	exercise_sessions(idx_session_starttime_member)	256.0	256.0	257	1.15	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/256x1 q256.0
